source,index,point_count,span,mean_spacing,mu1,mu2,mu3,mu4_raw,mu4_gt2,q4_per_core,pair_part_per_core,three_index_part_per_core,reconstruction_relative_error,window_start
CUE,14,512,510.6414114867506,0.9992982612265178,1.0,1.3442981947165955,2.014689684216293,3.229679952686216,0.05886825210326341,-0.006234437200519735,2.1708117005829526,0.06510268930378314,0.0,-1
CUE,15,512,510.2232989078534,0.9984800370016701,1.0,1.3197534783176663,1.9693563252835005,3.198779341293958,0.1724272270687173,-0.002471721129990806,2.026352114225241,0.1748989481987081,0.0,-1
CUE,16,512,511.20158264428784,1.0003944865837335,1.0,1.3292473350428335,1.989075136534682,3.2188234043697923,0.12871979608676593,0.0017500510739451788,2.090103608283026,0.12696974501282074,0.0,-1
CUE,17,512,511.0224884864463,1.0000440087797384,1.0,1.361880123918531,2.0973990618515304,3.5003697345261657,0.1988948044336929,-0.00120445126820945,2.301474930092473,0.20009925570190235,0.0,-1
CUE,18,512,510.7926842960478,0.9995942941214243,1.0,1.3375385544348801,2.0011912296192254,3.2088518373999104,0.07518622787296594,-0.000817161125576775,2.1336656095269446,0.07600338899854271,0.0,-1
CUE,19,512,510.8234731611191,0.99965454630356,1.0,1.3601258138145842,2.111587415963939,3.5947658306427663,0.2948145342038284,-0.004101651841539711,2.299951296438939,0.2989161860453681,0.0,-1
CUE,20,512,511.3185297768228,1.0006233459429017,1.0,1.3450822912979297,2.0346258146188205,3.34005279333033,0.15074865862379072,-0.004133957281102205,2.1893041347065396,0.15488261590489294,0.0,-1
CUE,21,512,510.60984761630766,0.9992364923998193,1.0,1.3152212439067248,1.9662255729101854,3.214421801410562,0.2076109349670542,0.00303466450860234,2.0068108664435083,0.20457627045845186,0.0,-1
CUE,22,512,511.18121883799336,1.0003546356907893,1.0,1.3329314350894486,1.9876088831195748,3.1935766560697405,0.07904762607954034,0.0011249624537266467,2.1145290299902,0.0779226636258137,0.0,-1
CUE,23,512,511.5107113768008,1.0009994351796494,1.0,1.3219825918699306,1.942817393859431,3.071884214623717,0.02794468774063147,0.001937256463715814,2.043939526883086,0.026007431276915655,0.0,-1
