local_index,offset_text,absolute_gamma_decimal_string,theta_unfolded_relative_x
1196,706.96581771,144176897509546973706.96581771,1195.2919677611192
1197,707.05347124,144176897509546973707.05347124,1195.9138764738714
1198,707.21140202,144176897509546973707.21140202,1197.034407821482
1199,707.29633798,144176897509546973707.29633798,1197.6370351606204
1200,707.60637015,144176897509546973707.60637015,1199.8367378737507
1201,707.72501191,144176897509546973707.72501191,1200.6785105238682
1202,707.78463653,144176897509546973707.78463653,1201.1015519081973
1203,707.98703223,144176897509546973707.98703223,1202.5375653722708
1204,708.14835568,144176897509546973708.14835568,1203.6821679812729
1205,708.22940993,144176897509546973708.22940993,1204.257254281626
1206,708.47563935,144176897509546973708.47563935,1206.0042714483495
1207,708.53763871,144176897509546973708.53763871,1206.4441618003873
1208,708.73409597,144176897509546973708.73409597,1207.8380415640138
1209,708.93932958,144176897509546973708.93932958,1209.2941902234982
1210,709.00535544,144176897509546973709.00535544,1209.7626489107977
1211,709.05625591,144176897509546973709.05625591,1210.1237917623882
1212,709.20115109,144176897509546973709.20115109,1211.1518344992612
1213,709.34091748,144176897509546973709.34091748,1212.143488066333
1214,709.45014497,144176897509546973709.45014497,1212.9184657278493
1215,709.59084444,144176897509546973709.59084444,1213.9167395711572
1216,709.76403341,144176897509546973709.76403341,1215.1455289809571
1217,709.84583809,144176897509546973709.84583809,1215.7259396413824
1218,710.02329337,144176897509546973710.02329337,1216.984998857319
1219,710.17762279,144176897509546973710.17762279,1218.0799782715192
1220,710.37274740,144176897509546973710.37274740,1219.464402778226
1221,710.46490036,144176897509546973710.46490036,1220.1182353019124
1222,710.68273718,144176897509546973710.68273718,1221.6638047309611
1223,710.83964299,144176897509546973710.83964299,1222.777063835534
1224,710.87029385,144176897509546973710.87029385,1222.9945341061248
1225,711.03753009,144176897509546973711.03753009,1224.1810884267998
1226,711.13249376,144176897509546973711.13249376,1224.8548631597503
1227,711.27016772,144176897509546973711.27016772,1225.8316707708425
1228,711.42509678,144176897509546973711.42509678,1226.930904678165
1229,711.64341901,144176897509546973711.64341901,1228.4799181294711
1230,711.72534325,144176897509546973711.72534325,1229.0611770775317
1231,711.87711935,144176897509546973711.87711935,1230.1380404848303
1232,712.12112405,144176897509546973712.12112405,1231.8692730875844
1233,712.20793090,144176897509546973712.20793090,1232.4851745389187
1234,712.35352064,144176897509546973712.35352064,1233.5181452338047
1235,712.43591809,144176897509546973712.43591809,1234.10276164416
1236,712.56744082,144176897509546973712.56744082,1235.0359257929622
1237,712.66940480,144176897509546973712.66940480,1235.75936827781
1238,712.91204225,144176897509546973712.91204225,1237.480900133914
1239,712.98793839,144176897509546973712.98793839,1238.0193892367517
1240,713.13410020,144176897509546973713.13410020,1239.0564188134342
1241,713.29526949,144176897509546973713.29526949,1240.1999276450704
1242,713.39144811,144176897509546973713.39144811,1240.8823225441517
1243,713.53024879,144176897509546973713.53024879,1241.867124322562
1244,713.61696463,144176897509546973713.61696463,1242.4823800507638
1245,713.86122928,144176897509546973713.86122928,1244.2154570192824
1246,713.98743512,144176897509546973713.98743512,1245.1108974139386
1247,714.12289679,144176897509546973714.12289679,1246.0720086528922
1248,714.35742567,144176897509546973714.35742567,1247.7360095649378
1249,714.43121689,144176897509546973714.43121689,1248.2595640942604
1250,714.56036742,144176897509546973714.56036742,1249.1758972968541
1251,714.70812975,144176897509546973714.70812975,1250.224282689246
1252,714.76927142,144176897509546973714.76927142,1250.658087663047
1253,714.90615321,144176897509546973714.90615321,1251.629274765473
1254,715.20115725,144176897509546973715.20115725,1253.72235171027
1255,715.35773470,144176897509546973715.35773470,1254.8332810747295
1256,715.38384955,144176897509546973715.38384955,1255.0185679963995
1257,715.54078666,144176897509546973715.54078666,1256.1320491769422
1258,715.59002707,144176897509546973715.59002707,1256.481413771825
1259,715.71872523,144176897509546973715.71872523,1257.394537373569
1260,715.92659390,144176897509546973715.92659390,1258.869381991706
1261,716.05369858,144176897509546973716.05369858,1259.7711997270962
1262,716.22031857,144176897509546973716.22031857,1260.9533817053884
1263,716.31151780,144176897509546973716.31151780,1261.6004474394585
1264,716.38432495,144176897509546973716.38432495,1262.1170199144706
1265,716.60613962,144176897509546973716.60613962,1263.6908125031919
1266,716.77916928,144176897509546973716.77916928,1264.9184715959693
1267,717.00203924,144176897509546973717.00203924,1266.4997515505213
1268,717.08479129,144176897509546973717.08479129,1267.0868838758608
1269,717.25177479,144176897509546973717.25177479,1268.27164498629
1270,717.42724787,144176897509546973717.42724787,1269.5166403367964
1271,717.59121567,144176897509546973717.59121567,1270.680004817734
1272,717.63772651,144176897509546973717.63772651,1271.0100028980557
1273,717.71114548,144176897509546973717.71114548,1271.5309162842511
1274,717.97912418,144176897509546973717.97912418,1273.4322463089748
1275,718.09978646,144176897509546973718.09978646,1274.2883547079466
1276,718.20978081,144176897509546973718.20978081,1275.0687733016816
1277,718.40696093,144176897509546973718.40696093,1276.4677818140544
1278,718.52755650,144176897509546973718.52755650,1277.3234169003117
1279,718.66383884,144176897509546973718.66383884,1278.2903508576808
1280,718.93972939,144176897509546973718.93972939,1280.247816082538
1281,719.05053855,144176897509546973719.05053855,1281.0340158175259
1282,719.11617919,144176897509546973719.11617919,1281.4997413385245
1283,719.29641872,144176897509546973719.29641872,1282.7785550279373
1284,719.46815221,144176897509546973719.46815221,1283.9970176922743
1285,719.51548404,144176897509546973719.51548404,1284.3328407614365
1286,719.66492834,144176897509546973719.66492834,1285.393159863715
1287,719.78404114,144176897509546973719.78404114,1286.2382745798059
1288,719.86569474,144176897509546973719.86569474,1286.8176133157083
1289,720.05172705,144176897509546973720.05172705,1288.1375272363732
1290,720.24434586,144176897509546973720.24434586,1289.5041728943283
1291,720.42093572,144176897509546973720.42093572,1290.757091887068
1292,720.54584024,144176897509546973720.54584024,1291.6432993136273
1293,720.62986204,144176897509546973720.62986204,1292.2394406154224
1294,720.76807763,144176897509546973720.76807763,1293.2200911341085
1295,720.95340497,144176897509546973720.95340497,1294.5350032369888
1296,721.03245600,144176897509546973721.03245600,1295.0958765333528
1297,721.21442668,144176897509546973721.21442668,1296.3869728686336
1298,721.30921937,144176897509546973721.30921937,1297.059534484991
1299,721.46114092,144176897509546973721.46114092,1298.137429871518
1300,721.53465445,144176897509546973721.53465445,1298.659014168376
1301,721.74351317,144176897509546973721.74351317,1300.1408832693953
1302,721.81391250,144176897509546973721.81391250,1300.6403720714882
1303,721.92745568,144176897509546973721.92745568,1301.4459698941382
1304,722.12972474,144176897509546973722.12972474,1302.8810848374176
1305,722.29128820,144176897509546973722.29128820,1304.0273903363106
1306,722.34491834,144176897509546973722.34491834,1304.40790041197
