dataset,role,location_id,m,lambda,n_pos_res,n_neg_res,n_unres,p_pos_res,p_neg_res,p_unres,H_norm2_from_spectrum,epsilon_screen,min_abs_H_eigenvalue,trace_formula,trace_spectrum,trace_abs_error,frobH2_formula,frobH2_spectrum,frobH2_abs_error,npos_lower_bound_raw,b_pos_normalized,bound_slack_fraction
low_height_first_10000,primary,2,256,0.5,202,54,0,0.7890625,0.2109375,0.0,0.9991769639162452,1e-10,0.011384274604392175,128.0,128.0,0.0,122.35050491191927,122.35050491191927,0.0,133.9103587009708,0.5230873386756671,0.26597516132433285
low_height_first_10000,primary,2,256,0.55,190,66,0,0.7421875,0.2578125,0.0,0.9990946603078698,1e-10,0.0029592646990576066,115.19999999999999,115.19999999999999,0.0,122.44411094342232,122.44411094342233,1.4210854715202004e-14,108.38446943464794,0.4233768337290935,0.3188106662709065
low_height_first_10000,primary,2,256,0.6,181,75,0,0.70703125,0.29296875,0.0,0.9990123566994943,1e-10,0.0074555797826858505,102.4,102.40000000000002,1.4210854715202004e-14,124.98472707316375,124.98472707316373,2.842170943040401e-14,83.89633074016982,0.32772004195378834,0.37931120804621166
low_height_first_10000,primary,2,256,0.65,178,78,0,0.6953125,0.3046875,0.0,0.9989300530911188,1e-10,0.01861633150369657,89.6,89.6,0.0,129.97235330114358,129.97235330114356,2.842170943040401e-14,61.76821297833161,0.24128208194660786,0.45403041805339217
low_height_first_10000,primary,2,256,0.7,172,84,0,0.671875,0.328125,0.0,0.9988477494827434,1e-10,0.004429010296613023,76.80000000000001,76.80000000000004,2.842170943040401e-14,137.40698962736175,137.40698962736175,0.0,42.92532727771433,0.1676770596785716,0.5041979403214284
low_height_first_10000,primary,2,256,0.75,166,90,0,0.6484375,0.3515625,0.0,1.0705117206085664,1.0705117206085665e-10,0.006870693440087949,64.0,64.0,0.0,147.28863605181834,147.28863605181837,2.842170943040401e-14,27.809341642344805,0.1086302407904094,0.5398072592095906
low_height_first_10000,primary,2,256,0.8,162,94,0,0.6328125,0.3671875,0.0,1.208545835315804,1.208545835315804e-10,0.004995188618612367,51.19999999999999,51.19999999999999,0.0,159.61729257451339,159.61729257451336,2.842170943040401e-14,16.42328320270339,0.06415345001056012,0.5686590499894398
low_height_first_10000,primary,2,256,0.85,161,95,0,0.62890625,0.37109375,0.0,1.3465799500230418,1.3465799500230418e-10,0.01806369817779263,38.400000000000006,38.400000000000034,2.842170943040401e-14,174.39295919544668,174.39295919544668,0.0,8.455387228950126,0.03302885636308643,0.5958773936369136
low_height_first_10000,primary,2,256,0.9,156,100,0,0.609375,0.390625,0.0,1.4846140647302795,1.4846140647302796e-10,0.00017942130501902298,25.599999999999994,25.60000000000001,1.4210854715202004e-14,191.61563591461845,191.61563591461845,0.0,3.4201801793044693,0.013360078825408083,0.5960149211745919
low_height_first_10000,primary,2,256,0.95,154,102,0,0.6015625,0.3984375,0.0,1.6226481794375172,1.622648179437517e-10,0.012545150357956336,12.800000000000011,12.800000000000026,1.4210854715202004e-14,211.2853227320286,211.28532273202856,2.842170943040401e-14,0.7754443038516082,0.0030290793119203446,0.5985334206880797
low_height_first_10000,primary,2,512,0.1,512,0,0,1.0,0.0,0.0,0.9998353927832491,1e-10,0.7226372409818669,460.8,460.79999999999995,5.684341886080802e-14,419.3950767865033,419.3950767865033,0.0,506.2926384996451,0.9888528095696193,0.011147190430380705
low_height_first_10000,primary,2,512,0.15,512,0,0,1.0,0.0,0.0,0.9997530891748736,1e-10,0.5839558614728002,435.2,435.2,0.0,380.43892276963237,380.43892276963237,0.0,497.8434872571832,0.9723505610491859,0.027649438950814065
low_height_first_10000,primary,2,512,0.2,512,0,0,1.0,0.0,0.0,0.9996707855664981,1e-10,0.44527448196373365,409.6,409.6,0.0,346.38030714601314,346.38030714601314,0.0,484.35825172150265,0.9460122103935599,0.05398778960644013
low_height_first_10000,primary,2,512,0.25,512,0,0,1.0,0.0,0.0,0.9995884819581227,1e-10,0.3065931024546671,384.0,384.0,0.0,317.21922991564554,317.21922991564554,0.0,464.83941102565336,0.9078894746594792,0.09211052534052078
low_height_first_10000,primary,2,512,0.3,512,0,0,1.0,0.0,0.0,0.9995061783497472,1e-10,0.16791172294560053,358.4,358.40000000000003,5.684341886080802e-14,292.9556910785295,292.9556910785296,5.684341886080802e-14,438.4641224312915,0.8563752391236162,0.14362476087638376
low_height_first_10000,primary,2,512,0.35,512,0,0,1.0,0.0,0.0,0.9994238747413717,1e-10,0.029230343436533968,332.8,332.80000000000007,5.684341886080802e-14,273.5896906346652,273.58969063466526,5.684341886080802e-14,404.8246106900882,0.7906730677540785,0.20932693224592147
low_height_first_10000,primary,2,512,0.4,445,67,0,0.869140625,0.130859375,0.0,0.9993415711329963,1e-10,0.015857692063275364,307.2,307.2,0.0,259.1212285840526,259.1212285840526,0.0,364.1995698912337,0.7113272849438158,0.1578133400561842
